,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Chokurdakh,100,RU,1584155551,96,70.63,147.92,-15.59,9.22
1,Lebu,0,CL,1584155552,94,-37.62,-73.65,49.59,3.98
2,Guangyuan,30,CN,1584155479,57,32.44,105.82,57.99,2.39
3,Yellowknife,5,CA,1584155554,62,62.46,-114.35,-14.8,6.93
4,Buriti Alegre,0,BR,1584155555,94,-18.14,-49.04,68.07,2.28
5,Mount Hagen,75,PG,1584155557,77,-5.86,144.23,69.8,4.7
6,George Town,20,MY,1584155372,66,5.41,100.34,89.6,4.7
7,Kapaa,90,US,1584155559,60,22.08,-159.32,77.0,9.17
8,Ishigaki,75,JP,1584155560,88,24.34,124.16,66.2,13.87
9,Reconquista,0,AR,1584155561,42,-29.15,-59.65,83.84,6.35
10,Vaini,75,TO,1584155562,83,-21.2,-175.2,80.6,14.99
11,Dongargaon,74,IN,1584155563,70,20.97,80.85,75.88,5.88
12,Husavik,90,IS,1584155564,73,66.04,-17.34,26.6,23.04
13,Puerto Ayora,53,EC,1584155565,83,-0.74,-90.35,79.0,8.01
14,Bluff,23,NZ,1584155566,55,-46.6,168.33,70.0,1.99
15,San Cristobal,75,VE,1584155567,69,7.77,-72.22,80.6,2.24
16,Caravelas,99,BR,1584155568,77,-17.71,-39.25,80.31,6.62
17,Iskateley,100,RU,1584155569,94,67.68,53.15,17.1,13.51
18,Punta Arenas,57,CL,1584155562,70,-53.15,-70.92,51.01,16.11
19,Rikitea,24,PF,1584155573,74,-23.12,-134.97,77.11,12.35
20,Albany,20,US,1584155574,52,42.6,-73.97,42.01,11.41
21,Melito di Porto Salvo,5,IT,1584155575,51,37.92,15.77,59.0,3.36
22,Hasaki,75,JP,1584155576,93,35.73,140.83,41.0,16.11
23,Bandarbeyla,85,SO,1584155577,80,9.49,50.81,78.69,16.84
24,Bredasdorp,8,ZA,1584155578,87,-34.53,20.04,55.4,1.12
25,Ushuaia,68,AR,1584155579,93,-54.8,-68.3,46.4,5.14
26,Barrow,90,US,1584155402,85,71.29,-156.79,24.8,35.57
27,Cururupu,99,BR,1584155582,97,-1.83,-44.87,74.46,2.21
28,Burnie,16,AU,1584155583,41,-41.07,145.92,64.0,1.99
29,Mataura,0,NZ,1584155584,55,-46.19,168.86,70.0,1.99
30,Sysert',40,RU,1584155585,86,56.5,60.82,37.4,13.42
31,Sitka,75,US,1584155586,51,57.05,-135.33,35.6,20.8
32,Cape Town,75,ZA,1584155590,93,-33.93,18.42,60.01,8.05
33,Port Alfred,1,ZA,1584155591,97,-33.59,26.89,66.99,1.99
34,Busselton,100,AU,1584155592,30,-33.65,115.33,84.99,3.56
35,Port-Gentil,100,GA,1584155593,78,-0.72,8.78,82.9,7.4
36,Deqing,75,CN,1584155594,66,30.54,119.96,54.0,8.95
37,Narsaq,95,GL,1584155595,79,60.92,-46.05,19.4,1.12
38,Hermanus,0,ZA,1584155596,94,-34.42,19.23,60.01,3.0
39,Buraidah,75,SA,1584155597,56,26.33,43.98,73.4,14.99
40,Atuona,34,PF,1584155598,67,-9.8,-139.03,82.8,9.15
41,Koungou,100,YT,1584155599,83,-12.73,45.2,82.4,5.82
42,Constantine,100,DZ,1584155600,87,36.37,6.61,48.2,1.12
43,Butaritari,100,KI,1584155601,71,3.07,172.79,83.89,10.25
44,Waingapu,1,ID,1584155602,75,-9.66,120.26,82.72,4.23
45,Iqaluit,5,CA,1584155604,67,63.75,-68.51,-23.01,16.11
46,Turukhansk,100,RU,1584155606,99,65.82,87.98,33.28,12.3
