City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Breves,100,BR,1584051065,96,-1.68,-50.48,77.05,0.29
Vila Velha,75,BR,1584051070,88,-20.33,-40.29,78.01,9.17
Mahébourg,75,MU,1584051075,94,-20.41,57.7,79.0,3.36
Bredasdorp,0,ZA,1584051245,88,-34.53,20.04,66.2,1.12
Mataura,10,NZ,1584051356,89,-46.19,168.86,49.33,0.25
Kapaa,90,US,1584051357,73,22.08,-159.32,75.2,5.82
Hong Kong,20,HK,1584051258,88,22.29,114.16,73.0,10.29
Porbandar,0,IN,1584051359,57,21.64,69.61,73.45,14.0
Arraial do Cabo,40,BR,1584051360,78,-22.97,-42.03,78.8,12.75
Albany,90,US,1584050813,49,42.6,-73.97,48.99,16.11
Inuvik,20,CA,1584051362,57,68.35,-133.72,-11.2,5.08
Husavik,90,IS,1584051364,85,66.04,-17.34,21.2,19.46
Bethel,90,US,1584051365,81,41.37,-73.41,48.2,12.75
Yeppoon,48,AU,1584051138,64,-23.13,150.73,73.4,10.29
Cape Town,40,ZA,1584051045,93,-33.93,18.42,64.0,1.12
Deep River,1,CA,1584051368,51,46.1,-77.5,41.0,6.93
Jamestown,40,US,1584051149,47,42.1,-79.24,57.99,9.17
Hobart,75,AU,1584051371,56,-42.88,147.33,68.0,9.17
Avarua,17,CK,1584051372,88,-21.21,-159.78,78.8,8.05
Gari,100,RU,1584051373,87,59.43,62.35,39.97,14.79
Tuktoyaktuk,20,CA,1584051374,67,69.45,-133.04,-27.4,8.05
George Town,20,MY,1584051285,88,5.41,100.34,80.6,5.82
Ponferrada,80,ES,1584051376,99,42.55,-6.6,50.0,1.01
Thompson,90,CA,1584051378,61,55.74,-97.86,15.8,14.99
Busselton,3,AU,1584051325,47,-33.65,115.33,64.0,15.3
Elban,100,RU,1584051381,94,50.1,136.51,12.79,10.6
Philadelphia,90,US,1584051199,76,39.95,-75.16,57.99,6.93
Copiapó,0,CL,1584051384,60,-27.37,-70.33,71.6,9.17
Pangkalanbuun,66,ID,1584051385,91,-2.68,111.62,75.79,1.19
Constitución,73,CL,1584051315,77,-35.33,-72.42,64.09,6.17
Saint George,1,US,1584051346,42,37.1,-113.58,68.0,3.36
Rikitea,0,PF,1584051388,76,-23.12,-134.97,77.95,19.3
Ixtapa,90,MX,1584051385,74,20.7,-105.2,79.0,8.05
Qaanaaq,0,GL,1584051305,44,77.48,-69.36,-19.07,4.18
Ushuaia,75,AR,1584051114,71,-54.8,-68.3,55.4,3.51
Kargopol',100,RU,1584051393,94,61.51,38.95,34.39,10.98
Broken Hill,1,AU,1584051394,47,-31.95,141.43,75.2,11.41
Esperance,75,AU,1584051396,93,-33.87,121.9,60.8,3.36
Khatanga,22,RU,1584051315,87,71.97,102.5,-26.27,10.74
Naze,75,JP,1584051398,82,28.37,129.48,60.8,6.93
Margate,0,GB,1584051399,69,51.38,1.39,45.0,24.16
Hithadhoo,0,MV,1584051400,69,-0.6,73.08,82.81,11.27
New Norfolk,75,AU,1584051331,56,-42.78,147.06,68.0,9.17
Corralillo,0,CU,1584051402,72,22.98,-80.59,75.97,16.89
Wonthaggi,28,AU,1584051403,46,-38.6,145.59,73.99,10.96
Dubti,54,ET,1584051365,48,11.74,41.09,74.35,2.84
Oudtshoorn,56,ZA,1584051405,93,-33.59,22.2,64.4,5.82
Mindszent,0,HU,1584051406,66,46.52,20.19,55.4,6.93
Ilulissat,90,GL,1584051407,71,69.22,-51.1,6.8,4.7
Cockburn Town,40,TC,1584051408,73,21.46,-71.14,77.0,9.17
Alta Floresta,99,BR,1584051410,91,-9.88,-56.09,80.47,2.01
Kavieng,78,PG,1584051411,73,-2.57,150.8,83.89,9.8
Ottawa,40,CA,1584051410,59,45.41,-75.7,37.99,12.75
Khudumelapye,96,BW,1584051413,31,-23.88,24.75,78.13,6.13
Cherskiy,100,RU,1584051414,94,68.75,161.3,-5.03,8.86
Punta Arenas,90,CL,1584051415,87,-53.15,-70.92,53.01,8.05
Almaznyy,21,RU,1584051416,87,48.04,40.05,42.8,13.42
Barrow,90,US,1584051417,77,71.29,-156.79,6.8,23.04
Vaini,75,TO,1584051419,88,-21.2,-175.2,80.6,6.93
Carutapera,63,BR,1584051420,73,-1.2,-46.02,82.63,8.9
Lethem,60,GY,1584051421,25,3.38,-59.8,100.99,4.61
Camaná,31,PE,1584051423,66,-16.62,-72.71,72.37,10.31
Hilo,1,US,1584051395,54,19.73,-155.09,82.4,16.11
Atuona,34,PF,1584051425,74,-9.8,-139.03,82.27,10.36
Cabo San Lucas,40,MX,1584051268,61,22.89,-109.91,81.0,6.93
Souillac,75,MU,1584051428,94,-20.52,57.52,79.0,4.27
Mar del Plata,45,AR,1584051158,78,-38.0,-57.56,73.4,9.17
Koslan,100,RU,1584051431,97,63.46,48.9,33.31,10.29
Hofn,100,IS,1584051432,70,64.25,-15.21,29.53,19.1
Santa Lucía,20,ES,1584051433,82,27.91,-15.54,66.99,17.22
Unión Hidalgo,0,MX,1584051434,38,16.47,-94.83,92.17,12.5
Taltal,0,CL,1584051435,71,-25.4,-70.48,68.05,7.94
São José da Coroa Grande,7,BR,1584051436,75,-8.9,-35.15,82.45,16.84
Poya,0,NC,1584051437,78,-21.35,165.15,80.47,4.47
Hermanus,3,ZA,1584051297,95,-34.42,19.23,60.01,4.43
Mabaruma,58,GY,1584051368,58,8.2,-59.78,84.07,6.02
Tilichiki,100,RU,1584051440,86,60.47,166.1,26.29,18.86
Nome,90,US,1584051184,79,64.5,-165.41,25.0,16.11
Caldwell,1,US,1584051442,25,43.66,-116.69,55.4,6.93
Tuatapere,2,NZ,1584051443,74,-46.13,167.68,50.59,0.67
Huarmey,8,PE,1584051444,45,-10.07,-78.15,83.17,10.8
Isangel,75,VU,1584051445,74,-19.55,169.27,84.2,3.36
Provideniya,90,RU,1584051343,95,64.38,-173.3,32.0,31.32
Bluff,8,NZ,1584051322,83,-46.6,168.33,49.69,4.7
Saint-Augustin,21,CA,1584051449,91,51.23,-58.65,16.75,10.02
Cheney,75,US,1584051208,35,47.49,-117.58,48.0,8.05
Honchō,75,JP,1584051451,75,41.88,140.68,46.4,27.51
Nanortalik,0,GL,1584051452,76,60.14,-45.24,23.77,12.73
Hasaki,75,JP,1584051453,93,35.73,140.83,43.0,1.12
Chicama,40,PE,1584051425,74,-7.84,-79.15,78.8,8.05
Hołoby,77,UA,1584051455,72,51.09,25.01,45.73,23.78
Chui,100,UY,1584051456,70,-33.7,-53.46,79.03,12.88
Oodweyne,60,SO,1584051457,57,9.41,45.06,64.63,3.29
Porteirinha,100,BR,1584051459,90,-15.74,-43.03,72.91,5.41
Gornyy,98,RU,1584051271,94,55.12,83.91,23.23,15.01
Taikang,0,CN,1584051461,75,46.83,124.42,-2.33,9.48
Butaritari,32,KI,1584051463,78,3.07,172.79,82.45,9.53
Cidreira,46,BR,1584051464,81,-30.18,-50.21,77.05,12.8
East London,100,ZA,1584051465,84,-33.02,27.91,74.53,17.0
Merauke,94,ID,1584051466,94,-8.47,140.33,75.61,6.71
Zhangye,0,CN,1584051468,78,38.93,100.45,25.39,5.06
Magadan,100,RU,1584051469,93,59.57,150.8,0.55,4.03
Port Blair,100,IN,1584051470,88,11.67,92.75,73.4,3.6
Lavrentiya,100,RU,1584051471,87,65.58,-171.0,28.63,40.71
Athabasca,100,CA,1584051472,83,54.72,-113.29,20.17,12.71
Deputatsky,0,RU,1584051473,84,69.3,139.9,-28.61,1.3
